,state_location,zip_location,school_counts,enrollment_mean,g12_enrollment_mean,teachers_fte_mean,g12_students_retained_mean,students_SAT_ACT_mean,salaries_teachers_mean,salaries_total_mean,expenditures_nonpersonnel_mean
7140,NC,27052,2,336.0,75.0,25.0,0.0,68.0,1015695.0,1326292.5,241965.5
7141,NC,27055,1,217.0,46.0,8.0,0.0,45.0,349668.0,497136.0,124509.0
7142,NC,27101,3,539.0,89.0,42.0,0.0,106.0,1973218.33,2569342.0,300497.33
7143,NC,27103,2,180.0,60.0,7.0,0.0,46.0,390936.5,570773.5,70589.0
7144,NC,27104,1,1752.0,451.0,91.0,8.0,351.0,3981002.0,5080157.0,608449.0
7145,NC,27105,2,853.0,190.0,60.0,7.0,186.0,2367391.0,3343123.5,277125.5
7146,NC,27106,1,1580.0,371.0,84.0,1.0,373.0,3758923.0,4772610.0,369752.0
7147,NC,27127,1,1559.0,346.0,93.0,11.0,346.0,4020662.0,5215616.0,236349.0
7148,NC,27203,1,1376.0,300.0,79.0,1.0,311.0,3663041.0,4593747.5,1692758.0
7149,NC,27205,3,787.0,149.0,48.0,1.0,144.0,1906108.67,2531929.33,722239.33
7150,NC,27207,1,414.0,98.0,29.0,0.0,92.0,1478749.0,1862015.0,260826.0
7151,NC,27209,1,579.0,146.0,36.0,0.0,170.0,1824750.0,2209794.0,193599.0
7152,NC,27215,1,1214.0,260.0,66.0,3.0,285.0,2873585.0,3783260.0,352589.0
7153,NC,27217,1,956.0,195.0,64.0,8.0,188.0,2577035.0,3480270.0,122206.0
7154,NC,27233,1,788.0,174.0,48.0,1.0,187.0,2108867.0,2839046.0,347311.0
7155,NC,27239,1,389.0,95.0,32.0,2.0,86.0,1353655.0,1738230.0,217290.0
7156,NC,27244,1,1212.0,307.0,66.0,5.0,254.0,3115732.0,3980612.0,313322.0
7157,NC,27249,1,1272.0,217.0,77.0,0.0,290.0,3274437.0,4045283.0,506669.0
7158,NC,27253,3,826.0,177.0,47.0,8.0,181.0,2022429.0,2775687.67,225929.0
7159,NC,27260,2,366.0,34.0,26.0,0.0,36.0,1185390.0,1577597.0,201868.5
